"35405","1","8","4","0","43.76","40.18","0.96","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35406","1","4","2","1","44.72","41.81","0.71","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35407","1","6","1","2","45.43","42.99","1.24","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35408","4","6","1","2","41.10","44.23","0.69","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35409","1","6","1","1","44.19","44.92","0.07","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35410","1","6","2","1","44.26","44.85","1.06","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35411","6","5","2","1","43.79","37.72","0.39","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35412","6","5","2","0","44.18","37.33","0.31","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35413","6","5","2","0","44.49","37.02","0.25","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35414","4","6","2","1","40.41","44.74","1.43","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35415","4","6","1","0","41.84","43.31","1.15","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35416","6","4","3","1","42.16","42.99","1.08","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35417","1","4","2","1","45.32","41.91","0.66","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35418","1","4","1","1","45.98","41.25","0.47","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35419","1","4","4","0","45.51","41.72","0.93","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35420","1","4","0","4","46.44","40.79","2.35","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35421","2","9","4","1","41.65","37.54","0.88","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35422","2","6","2","1","42.53","43.24","1.07","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35423","2","11","2","1","43.60","42.42","0.88","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35424","2","3","1","0","44.48","40.35","0.59","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35425","3","11","4","3","39.76","41.54","1.18","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35426","3","11","3","0","40.94","40.36","1.41","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35427","3","11","0","1","42.35","38.95","1.34","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35428","4","8","1","0","43.14","39.22","0.61","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35429","4","8","1","0","43.75","38.61","0.49","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35430","4","8","1","1","44.24","38.12","0.61","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35431","8","4","0","0","38.73","43.63","0.49","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35432","1","2","3","2","44.09","45.07","1.10","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35433","1","2","2","0","45.19","43.97","0.88","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35434","1","3","2","1","46.07","41.01","0.49","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35435","1","10","3","1","46.56","41.76","0.52","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35436","1","11","1","2","47.08","40.29","1.68","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35437","10","11","5","2","41.24","41.97","1.61","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35438","2","10","3","2","43.09","42.85","0.98","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35439","11","12","2","1","40.36","36.31","0.59","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35440","6","11","1","2","42.17","40.95","1.12","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35441","9","12","1","0","36.66","35.72","0.91","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35442","6","11","1","0","41.05","42.07","1.10","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35443","6","11","1","1","42.15","40.97","0.12","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35444","1","10","3","2","45.40","41.87","0.65","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35445","1","2","2","2","46.05","44.07","0.20","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35446","8","4","2","1","39.22","43.14","1.39","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35447","8","4","1","0","40.61","41.75","1.11","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35448","8","4","3","2","41.72","40.64","0.89","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35449","1","11","4","2","45.85","41.09","0.52","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35450","1","2","5","2","46.37","44.27","1.19","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35451","1","11","2","1","47.55","40.57","0.30","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35452","1","9","4","0","47.85","37.57","0.00","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35453","1","2","4","2","47.85","43.09","0.52","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35454","1","6","5","2","48.37","42.03","0.55","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35455","1","10","2","0","48.92","41.22","0.23","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35456","11","10","2","1","40.27","40.99","1.07","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35457","1","11","3","1","49.15","41.34","0.22","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35458","1","6","4","5","49.37","41.48","1.79","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35459","4","6","2","1","39.75","43.27","1.35","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35460","1","4","1","2","47.58","41.10","1.65","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35461","10","4","5","3","39.92","42.75","1.28","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35462","10","4","1","2","41.20","41.47","0.97","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35463","9","12","2","3","37.57","34.81","1.28","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35464","9","12","0","2","36.29","36.09","1.02","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35465","1","5","0","1","45.93","36.77","1.92","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35466","10","5","3","2","40.23","38.69","0.85","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35467","1","5","3","2","44.01","37.84","0.38","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35468","1","5","1","0","44.39","37.46","0.31","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35469","5","9","5","4","37.15","35.27","0.81","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35470","5","12","4","1","37.96","37.11","1.37","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35471","5","9","2","4","39.33","34.46","1.49","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35472","9","10","2","3","35.95","41.08","0.49","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35473","6","10","1","0","41.92","41.57","0.97","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35474","6","10","3","1","42.89","40.61","0.77","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35475","11","15","4","0","41.12","37.81","1.00","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35476","1","11","1","3","44.70","42.12","1.26","2018-11-24 21:58:40","2018-11-24 21:58:40"
"35477","11","12","2","1","43.38","35.74","0.24","2018-11-24 21:58:40","2018-11-24 21:58:40"
